preview_action,target_table,company_id,id_policy,document_id_resolution,procedure_doc_id_resolution,doc_number,name,module,print_template_key,field_schema_length,field_schema_sha1,version,status,review_status,publish,soft_delete,existing_match,existing_status,review_note,created_policy,modified_policy
create_draft,record_form_templates,00000000-0000-0000-0000-000000000001,qms_uuid_at_apply_time,candidate_document_created_same_apply,"XZTC/CX-07-02-2022 -> existing_document:e963e5fb-9a5c-4cfe-9215-7fd3ee020ab8",JL-4.1-01,公正性风险识别与处置记录,QMS候选记录模板,generic_record_form,17,fd537b1eedd7a85c3905f46b2f9b167d2c92562b,候选,draft,pending,0,0,no,,由第五版候选修订包生成；正式启用前需人工核实现用表单、保存期限和字段。,apply_time,apply_time
create_draft,record_form_templates,00000000-0000-0000-0000-000000000001,qms_uuid_at_apply_time,candidate_document_created_same_apply,"XZTC/CX-06-2022 -> existing_document:0f711c80-d608-48e4-97a6-5c8f7b559c65",JL-4.2-01,保密承诺与权限确认记录,QMS候选记录模板,generic_record_form,16,22f70b4408dc5241ff8c08e978c8e8749f568c2d,候选,draft,pending,0,0,no,,由第五版候选修订包生成；正式启用前需人工核实现用表单、保存期限和字段。,apply_time,apply_time
create_draft,record_form_templates,00000000-0000-0000-0000-000000000001,qms_uuid_at_apply_time,candidate_document_created_same_apply,"XZTC/CX-01-02-2022 -> existing_document:b2842580-b2be-41d7-b7c6-12f2de7c55fa",JL-5-01,岗位职责与授权确认表,QMS候选记录模板,generic_record_form,17,90867aac9af48955c2472744a86bd5296e0418f8,候选,draft,pending,0,0,no,,由第五版候选修订包生成；正式启用前需人工核实现用表单、保存期限和字段。,apply_time,apply_time
create_draft,record_form_templates,00000000-0000-0000-0000-000000000001,qms_uuid_at_apply_time,candidate_document_created_same_apply,"XZTC/CX-01-02-2022 -> existing_document:b2842580-b2be-41d7-b7c6-12f2de7c55fa",JL-6.2-01,人员能力确认与授权记录,QMS候选记录模板,generic_record_form,17,33651e9cf6ad1e6416adcbae81e26dd44f10ed49,候选,draft,pending,0,0,no,,由第五版候选修订包生成；正式启用前需人工核实现用表单、保存期限和字段。,apply_time,apply_time
create_draft,record_form_templates,00000000-0000-0000-0000-000000000001,qms_uuid_at_apply_time,candidate_document_created_same_apply,"XZTC/CX-02-2022 -> existing_document:6d196fbb-0aa9-4cc9-ba75-03983d4658c0",JL-6.3-01,环境条件监控与异常处置记录,QMS候选记录模板,generic_record_form,18,60aed45972126330bbe7b027b6bfeb128f98c396,候选,draft,pending,0,0,no,,由第五版候选修订包生成；正式启用前需人工核实现用表单、保存期限和字段。,apply_time,apply_time
create_draft,record_form_templates,00000000-0000-0000-0000-000000000001,qms_uuid_at_apply_time,candidate_document_created_same_apply,"XZTC/CX-03-02-2022 -> existing_document:ff93caff-76a7-447b-ab69-3a679ea37ad1",JL-6.4-01,设备状态与期间核查记录,QMS候选记录模板,generic_record_form,17,2a689a0b0951830738d1aa1544f21bae59ef003b,候选,draft,pending,0,0,no,,"由第五版候选修订包生成；正式启用前需人工核实现用表单、保存期限和字段。 关联编号附件/表单需人工确认归属：XZTC/CX-05-02-2022。",apply_time,apply_time
create_draft,record_form_templates,00000000-0000-0000-0000-000000000001,qms_uuid_at_apply_time,candidate_document_created_same_apply,"XZTC/CX-03-02-2022 -> existing_document:ff93caff-76a7-447b-ab69-3a679ea37ad1",JL-6.5-01,计量溯源结果确认记录,QMS候选记录模板,generic_record_form,16,91cd04ddfbc2ea9434a2c8bc561fd064c841e9fe,候选,draft,pending,0,0,no,,"由第五版候选修订包生成；正式启用前需人工核实现用表单、保存期限和字段。 关联编号附件/表单需人工确认归属：XZTC/CX-05-02-2022。",apply_time,apply_time
create_draft,record_form_templates,00000000-0000-0000-0000-000000000001,qms_uuid_at_apply_time,candidate_document_created_same_apply,"XZTC/CX-11-2022 -> existing_document:e4cb301d-027e-43d8-9e84-0632d6fb9999",JL-6.6-01,外部服务与供应品评价记录,QMS候选记录模板,generic_record_form,16,9efa45d8051cf7c040ff4ac6abf0179b6ae2f16b,候选,draft,pending,0,0,no,,由第五版候选修订包生成；正式启用前需人工核实现用表单、保存期限和字段。,apply_time,apply_time
create_draft,record_form_templates,00000000-0000-0000-0000-000000000001,qms_uuid_at_apply_time,candidate_document_created_same_apply,"XZTC/CX-08-2022 -> existing_document:a12b02c2-21f7-4001-b8ee-4ee9d9567135",JL-7.1-01,合同评审记录,QMS候选记录模板,generic_record_form,18,c55d3cec207354f76b5efe56d97e1c2d0451fe16,候选,draft,pending,0,0,no,,由第五版候选修订包生成；正式启用前需人工核实现用表单、保存期限和字段。,apply_time,apply_time
create_draft,record_form_templates,00000000-0000-0000-0000-000000000001,qms_uuid_at_apply_time,candidate_document_created_same_apply,"XZTC/CX-22-2022 -> existing_document:8dc0fb9b-84e8-43bb-949e-df5a510a7e9e",JL-7.2-01,方法验证/确认记录,QMS候选记录模板,generic_record_form,17,0d2cffe825eedaf43de9e0d82e78ede8138a2959,候选,draft,pending,0,0,no,,由第五版候选修订包生成；正式启用前需人工核实现用表单、保存期限和字段。,apply_time,apply_time
