preview_action,target_table,write_now,company_id,id_policy,block_id_resolution,target_type,target_code,target_id_resolution,relation_type,confidence,source_column,publish_plan,soft_delete_plan,phase_dependency
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_4_1 -> candidate_block_at_stage2_apply",procedure_document,XZTC/CX-07-02-2022,existing_document:e963e5fb-9a5c-4cfe-9215-7fd3ee020ab8,implements,review_required,procedure_doc_numbers,after_human_review,0,manual_revision_human_decision_required
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_4_1 -> candidate_block_at_stage2_apply",procedure_document,XZTC/CX-07-2022,existing_document:1f1a940b-8056-4a43-9e59-ec6554e2efcd,implements,review_required,procedure_doc_numbers,after_human_review,0,manual_revision_human_decision_required
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_4_1 -> candidate_block_at_stage2_apply",procedure_document,XZTC/CX-32-2022,existing_document:1ecf0642-c1a6-4b52-bfcb-2ae42bf71948,implements,review_required,procedure_doc_numbers,after_human_review,0,manual_revision_human_decision_required
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_4_1 -> candidate_block_at_stage2_apply",record_form_template,JL-4.1-01,candidate_record_template_after_phase1_apply,requires_record,review_required,record_template_numbers,after_human_review,0,manual_revision_human_decision_required
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_4_2 -> candidate_block_at_stage2_apply",procedure_document,XZTC/CX-06-2022,existing_document:0f711c80-d608-48e4-97a6-5c8f7b559c65,implements,review_required,procedure_doc_numbers,after_human_review,0,manual_revision_human_decision_required
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_4_2 -> candidate_block_at_stage2_apply",procedure_document,XZTC/CX-08-2022,existing_document:a12b02c2-21f7-4001-b8ee-4ee9d9567135,implements,review_required,procedure_doc_numbers,after_human_review,0,manual_revision_human_decision_required
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_4_2 -> candidate_block_at_stage2_apply",procedure_document,XZTC/CX-19-2022,existing_document:08a10a34-01c9-4837-aad7-86290d378669,implements,review_required,procedure_doc_numbers,after_human_review,0,manual_revision_human_decision_required
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_4_2 -> candidate_block_at_stage2_apply",procedure_document,XZTC/CX-26-2022,existing_document:6d5eeaed-64c1-468c-9034-dc0d0e7c72b7,implements,review_required,procedure_doc_numbers,after_human_review,0,manual_revision_human_decision_required
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_4_2 -> candidate_block_at_stage2_apply",record_form_template,JL-4.2-01,candidate_record_template_after_phase1_apply,requires_record,review_required,record_template_numbers,after_human_review,0,manual_revision_human_decision_required
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_5 -> candidate_block_at_stage2_apply",procedure_document,XZTC/CX-01-02-2022,existing_document:b2842580-b2be-41d7-b7c6-12f2de7c55fa,implements,review_required,procedure_doc_numbers,after_human_review,0,manual_revision_human_decision_required
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_5 -> candidate_block_at_stage2_apply",procedure_document,XZTC/CX-13-2022,existing_document:f2c5ae01-5460-4db5-b283-820da27c57fd,implements,review_required,procedure_doc_numbers,after_human_review,0,manual_revision_human_decision_required
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_5 -> candidate_block_at_stage2_apply",procedure_document,XZTC/CX-32-2022,existing_document:1ecf0642-c1a6-4b52-bfcb-2ae42bf71948,implements,review_required,procedure_doc_numbers,after_human_review,0,manual_revision_human_decision_required
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_5 -> candidate_block_at_stage2_apply",record_form_template,JL-5-01,candidate_record_template_after_phase1_apply,requires_record,review_required,record_template_numbers,after_human_review,0,manual_revision_human_decision_required
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_6_1 -> candidate_block_at_stage2_apply",procedure_document,XZTC/CX-01-02-2022,existing_document:b2842580-b2be-41d7-b7c6-12f2de7c55fa,implements,review_required,procedure_doc_numbers,after_human_review,0,manual_revision_human_decision_required
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_6_1 -> candidate_block_at_stage2_apply",procedure_document,XZTC/CX-02-2022,existing_document:6d196fbb-0aa9-4cc9-ba75-03983d4658c0,implements,review_required,procedure_doc_numbers,after_human_review,0,manual_revision_human_decision_required
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_6_1 -> candidate_block_at_stage2_apply",procedure_document,XZTC/CX-03-2022,existing_document:0fa0cbc4-ac88-4707-b251-12f2a19695e1,implements,review_required,procedure_doc_numbers,after_human_review,0,manual_revision_human_decision_required
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_6_1 -> candidate_block_at_stage2_apply",procedure_document,XZTC/CX-11-2022,existing_document:e4cb301d-027e-43d8-9e84-0632d6fb9999,implements,review_required,procedure_doc_numbers,after_human_review,0,manual_revision_human_decision_required
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_6_1 -> candidate_block_at_stage2_apply",record_form_template,JL-5-01,candidate_record_template_after_phase1_apply,requires_record,review_required,record_template_numbers,after_human_review,0,manual_revision_human_decision_required
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_6_2 -> candidate_block_at_stage2_apply",procedure_document,XZTC/CX-01-02-2022,existing_document:b2842580-b2be-41d7-b7c6-12f2de7c55fa,implements,review_required,procedure_doc_numbers,after_human_review,0,manual_revision_human_decision_required
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_6_2 -> candidate_block_at_stage2_apply",procedure_document,XZTC/CX-01-2022,existing_document:3d7a9112-371d-4b94-b8ac-05c5e53cd777,implements,review_required,procedure_doc_numbers,after_human_review,0,manual_revision_human_decision_required
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_6_2 -> candidate_block_at_stage2_apply",procedure_document,XZTC/CX-31-2022,existing_document:81588b50-963a-4318-93aa-821ed4bbf6c3,implements,review_required,procedure_doc_numbers,after_human_review,0,manual_revision_human_decision_required
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_6_2 -> candidate_block_at_stage2_apply",record_form_template,JL-6.2-01,candidate_record_template_after_phase1_apply,requires_record,review_required,record_template_numbers,after_human_review,0,manual_revision_human_decision_required
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_6_3 -> candidate_block_at_stage2_apply",procedure_document,XZTC/CX-02-2022,existing_document:6d196fbb-0aa9-4cc9-ba75-03983d4658c0,implements,review_required,procedure_doc_numbers,after_human_review,0,manual_revision_human_decision_required
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_6_3 -> candidate_block_at_stage2_apply",procedure_document,XZTC/CX-31-2022,existing_document:81588b50-963a-4318-93aa-821ed4bbf6c3,implements,review_required,procedure_doc_numbers,after_human_review,0,manual_revision_human_decision_required
create_block_link_after_block_apply,qms_document_block_links,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,"manual_v5_candidate_6_3 -> candidate_block_at_stage2_apply",procedure_document,XZTC/CX-33-2022,existing_document:d9dd985e-b3d5-4fc6-ac2d-aa48b82122f2,implements,review_required,procedure_doc_numbers,after_human_review,0,manual_revision_human_decision_required
